page_likes,page_checkin,daily_crowd,page_category,F1,F2,F3,F4,F5,F6,F7,F8,c1,c2,c3,c4,c5,base_time,post_length,share_count,promotion,h_target,post_day,basetime_day,target
595191,99,1561,16,717,38.3879040667362,21,71.1202458066235,0,377,13.1929092805005,3,35,5,30,33,-25,40,459,62,0,24,friday,sunday,4
66311,600,442,75,6,0.818181818181818,1,1.14692065865307,0,5,0.257575757575758,0,0,0,0,0,0,33,48,1,0,24,monday,tuesday,0
228007,0,24,16,304,12.9305816135084,2,38.3970183215367,0,296,4.25328330206379,0,4,4,0,4,4,14,566,16,0,24,saturday,sunday,0
416948,0,57260,18,1289,91.5852390852391,54,118.06372495436,0,656,34.950103950104,11,47,47,0,47,47,8,218,38,0,24,thursday,thursday,11
367390,0,2678,100,110,11.8281750266809,6,15.4302000580234,0,96,4.55923159018143,2,1,0,1,1,-1,40,888,27,0,24,tuesday,thursday,1
4913787,60,158828,9,1480,160.279761904762,117,178.273095932271,0,1248,60.5440476190476,12.5,10,0,4,10,-4,55,149,130,0,24,tuesday,friday,0
20131,13,27,24,47,2.30563002680965,1,6.585620491436,0,35,0.96514745308311,0,0,0,0,0,0,62,48,2,0,24,tuesday,thursday,0
9774,0,2397,16,57,2.68126094570928,1,5.72210962103093,0,54,1.21891418563923,0,0,0,0,0,0,40,0,1,0,24,monday,tuesday,0
2239009,51619,87722,9,857,96.7084432717678,47,139.638491822163,0,793,34.5738786279683,5,0,0,0,0,0,0,69,1468,0,24,wednesday,wednesday,293
1340759,33935,49392,9,591,58.6540664375716,32,82.0570829730918,0,570,21.864833906071,4,49,0,2,49,-2,66,429,5,0,24,sunday,wednesday,0
4300072,0,293563,18,1194,343.210843373494,236,293.297862706095,0,917,157.433734939759,71,45,45,0,45,45,10,30,145,0,24,saturday,sunday,39
5970921,53096,234501,9,1315,133.943113772455,48,229.549480134078,0,993,48.9491017964072,12.5,9,1,4,7,-3,53,586,7,0,24,tuesday,friday,0
1943823,0,83157,9,667,239.708333333333,233,171.415790590858,0,581,84.1041666666667,28,136,1,17,119,-16,68,222,87,0,24,tuesday,thursday,0
2001197,0,1053,2,194,24.8542857142857,15,32.5451584536857,0,152,9.70571428571429,1,5,0,0,5,0,69,347,1,0,24,tuesday,friday,0
656085,0,62122,39,165,30.0246913580247,17,38.0370650862812,0,142,11.2283950617284,2,70,70,0,70,70,14,0,3,0,24,monday,monday,23
23223,0,121,36,31,3.73024523160763,2,5.33312466954893,0,23,1.47411444141689,0,1,0,0,1,0,54,0,24,0,24,wednesday,friday,0
3337470,27805,11736,40,230,9.60686015831135,3,21.8307487004485,0,183,3.95646437994723,0,8,4,4,7,0,27,143,924,0,24,friday,saturday,0
81756,0,2947,36,208,19.3184357541899,11,26.2555500024856,0,174,8.03631284916201,2,1,0,1,1,-1,49,400,5,0,24,thursday,saturday,0
3995273,0,297147,4,2004,632.820846905537,500,437.277888324488,0,1592,239.501628664495,107,819,61,248,707,-187,56,37,293,0,17,tuesday,thursday,18
43331,1536,187,27,12,1.25382262996942,0,2.40789522064734,0,10,0.418960244648318,0,1,1,0,1,1,7,227,3,0,24,thursday,thursday,0
321135,148,1651,16,191,14.4731610337972,6,24.8572620073271,0,132,5.72166998011929,1,7,7,0,7,7,24,11,3,0,24,thursday,friday,1
175201,0,54849,36,806,124.21589688507,82,124.282151900921,0,626,48.4425349087003,22,36,0,9,32,-9,66,197,128,0,24,sunday,wednesday,1
175201,0,54849,36,806,124.21589688507,82,124.282151900921,0,626,48.4425349087003,22,566,368,198,547,170,26,4718,286,0,24,sunday,monday,42
11384,0,120,2,58,14.9261447562777,13,9.5137548901068,0,52,5.10044313146233,2,30,6,7,23,-1,55,79,3,0,24,sunday,wednesday,2
25599,2023,1835,32,183,11.608378870674,0,33.1250542552312,0,164,5.39344262295082,0,0,0,0,0,0,16,0,1,0,24,wednesday,thursday,0
5586080,0,74450,9,23,8.31666666666667,6,5.91746473490877,0,17,4.28333333333333,3,5,0,5,5,-5,38,412,17,0,24,thursday,saturday,0
57889,0,10836,18,781,27.4097995545657,17,51.7222881674652,0,370,9.60133630289532,2,3,0,0,3,0,72,110,1,0,24,sunday,wednesday,0
2046147,0,123685,9,1411,123.083242059146,73,163.739580568996,0,1076,43.26286966046,14,957,67,890,910,-823,39,53,1833,0,24,saturday,monday,39
633016,183,168920,18,1009,113.984090909091,41.5,157.622008216409,0,582,49.8886363636364,11.5,20,0,7,17,-7,53,62,6,0,24,tuesday,thursday,0
668834,4,450,9,1389,109.848195329087,84.5,118.636482414088,0,1379,42.2983014861996,8,1,0,1,1,-1,45,154,3,0,24,thursday,saturday,12
66311,600,442,75,6,0.818181818181818,1,1.14692065865307,0,5,0.257575757575758,0,1,1,0,1,1,16,137,1,0,24,sunday,monday,0
633016,183,168920,18,1009,113.984090909091,41.5,157.622008216409,0,582,49.8886363636364,11.5,1,1,0,1,1,5,0,12,0,24,monday,monday,1
25599,2023,1835,32,183,11.608378870674,0,33.1250542552312,0,164,5.39344262295082,0,2,0,0,2,0,51,831,11,0,24,monday,wednesday,0
1408791,158,172,23,64,7.96498054474708,4,11.0560448499161,0,55,3.21011673151751,0,7,0,1,6,-1,63,54,35,0,24,tuesday,thursday,0
668834,4,42523,9,1389,109.848195329087,84.5,118.636482414088,0,1379,42.2983014861996,8,166,10,33,148,-23,60,69,888,0,24,wednesday,friday,1
1959278,0,12641,18,538,21.452787258248,11,37.7694007688531,0,474,8.55972696245734,3,55,7,11,37,-4,71,0,273,0,24,wednesday,saturday,4
20329,0,136,24,17,3.62937062937063,2,4.1013017235591,0,13,1.3006993006993,0,1,1,0,1,1,29,256,2,0,24,wednesday,friday,0
316982,0,61205,42,190,17.1809369951535,7,28.5742446210718,0,159,7.05169628432956,2,20,7,13,20,-6,26,54,16,0,24,saturday,sunday,3
10039,4,1151,56,70,3.58771929824561,2,6.92163073208778,0,70,2.00877192982456,0,18,3,15,18,-12,32,281,1,0,24,tuesday,thursday,0
5365996,40729,102442,9,742,65.3755980861244,35,94.878517530351,0,719,24.0717703349282,5,99,1,98,99,-97,44,97,50,0,24,saturday,monday,0
3544586,122388,227617,9,1535,144.697167755991,92.5,185.198879770454,0,1401,54.8464052287582,17,40,40,0,40,40,5,116,182,0,24,sunday,sunday,22
44314,0,6358,8,148,22.0990338164251,12.5,27.6784041634901,0,139,7.76086956521739,2,7,7,0,7,7,4,35,2,0,24,saturday,saturday,2
3002207,0,47567,3,794,23.7297650130548,7,63.2031523051065,0,631,10.8629242819843,2,20,20,0,20,20,17,119,16,0,24,thursday,friday,2
1199903,0,191483,4,514,124.457831325301,77,124.481604699449,0,370,53.6626506024096,22,514,34,181,459,-147,59,74,592,0,24,saturday,monday,10
7564986,0,123241,12,45,3.42481751824817,1,5.71633312384424,0,38,1.26423357664234,0,3,0,3,3,-3,46,194,5,0,24,friday,sunday,0
513160,0,73487,42,1448,123.635738831615,30.5,226.665916627394,0,1140,50.4965635738832,9,652,43,128,553,-85,65,928,1905,0,24,thursday,sunday,5
19028,441,11,30,21,1.34579439252336,0,3.18173174424008,0,9,0.523364485981308,0,0,0,0,0,0,38,69,1,0,24,friday,sunday,0
157959,0,175,18,66,13.5441860465116,9,13.5360552517837,0,53,4.92093023255814,1,2,2,0,2,2,1,9,6,0,24,wednesday,wednesday,2
1501468,0,50185,8,1175,132.468085106383,88.5,157.993394834173,0,1091,49.6510638297872,16,136,3,22,122,-19,66,2,87,0,24,tuesday,friday,6
4290409,11,131422,9,1310,140.733990147783,65,206.740617521908,0,1231,58.2844827586207,13.5,76,76,0,76,76,9,184,15,0,24,thursday,friday,7
23985,178,2773,36,185,17.2612107623318,11,22.2085038527385,0,104,6.19394618834081,2,22,22,0,22,22,19,363,15,0,24,monday,tuesday,2
2008,0,12,89,4,0.556818181818182,0,0.998384542255576,0,2,0.181818181818182,0,0,0,0,0,0,68,0,1,0,24,saturday,tuesday,0
531871,0,216,47,22,5.76923076923077,2,6.01477470840757,0,18,2.28205128205128,0.5,0,0,0,0,0,1,16,87,0,24,friday,friday,2
25723,0,3586,2,60,22.4539385847797,22,11.9806063179301,0,53,8.64485981308411,4,8,0,0,8,0,72,145,2,0,24,saturday,tuesday,0
565299,0,53207,18,624,154.575835475578,129,121.403139984437,0,400,64.2724935732648,28,247,22,225,237,-203,41,42,36,0,24,sunday,tuesday,2
1259,0,0,2,99,11.5294117647059,8,15.4811208035675,0,97,4.10924369747899,0,5,5,0,5,5,9,527,4,0,24,sunday,sunday,1
4913787,60,158828,9,1480,160.279761904762,117,178.273095932271,0,1248,60.5440476190476,12.5,125,125,0,125,125,2,99,99,0,24,wednesday,wednesday,58
5970921,53096,234501,9,1315,133.943113772455,48,229.549480134078,0,993,48.9491017964072,12.5,92,25,67,90,-42,39,152,303,0,24,wednesday,thursday,1
5480,0,10,24,15,2.47826086956522,0,4.32504903432763,0,14,0.967391304347826,0,0,0,0,0,0,65,63,1,0,24,sunday,wednesday,0
32745,1559,770,32,15,1.34186939820743,0,2.27262303416435,0,15,0.523687580025608,0,0,0,0,0,0,37,285,2,0,24,thursday,saturday,0
2373,0,8,38,6,0.451923076923077,0,1.21591851710412,0,5,0.153846153846154,0,0,0,0,0,0,16,365,1,0,24,sunday,monday,0
25281,280,65,39,78,19.55078125,15,14.7371951627387,0,60,6.80989583333333,3,49,11,38,44,-27,40,43,46,0,24,monday,wednesday,0
68306,0,3811,2,113,26.4857456140351,19,23.4252219815022,0,89,10.1820175438597,4,16,16,0,16,16,14,148,5,0,24,monday,tuesday,3
865437,0,23219,24,356,44.1444444444444,28.5,50.0881580839914,0,298,16.9314814814815,5,25,25,0,25,25,18,86,2,0,24,monday,tuesday,0
12293,3744,3015,32,18,1.6448087431694,0,3.45692665576109,0,16,0.639344262295082,0,1,1,0,1,1,6,107,1,0,24,thursday,thursday,0
22485,0,300,16,410,12.1572327044025,1,54.6985489087182,0,148,3.71069182389937,0,0,0,0,0,0,62,19,2,0,24,monday,wednesday,0
965964,0,11631,9,446,37.4942166140904,19,57.6472440884201,0,359,12.2618296529968,2,15,0,0,15,0,57,264,29,0,24,wednesday,friday,0
2071999,156,150355,57,512,24.769801980198,12,51.5217821758395,0,484,13.7871287128713,5,83,3,27,80,-24,49,135,22,0,5,tuesday,thursday,0
236881,1172,36034,40,462,26.1860730593607,9,38.4770089403949,0,278,10.3926940639269,2,18,3,2,13,1,71,308,16,0,24,thursday,sunday,0
19320,0,15,36,15,3.37337662337662,2,3.80279361098722,0,14,1.25649350649351,0,3,3,0,3,3,4,544,2,0,24,tuesday,tuesday,1
1209904,62,106641,24,1178,297.774509803922,248,229.41881629853,0,676,102.823529411765,38.5,473,196,277,458,-81,28,311,164,0,24,friday,saturday,15
590707,0,25344,79,211,33.6525974025974,23,35.3466978895492,0,147,12.9545454545455,5,7,7,0,7,7,13,368,129,0,24,monday,tuesday,2
25879,0,1970,36,227,15.8055842812823,10,20.1817350601,0,134,6.45811789038263,3,10,0,2,8,-2,70,0,91,0,24,saturday,tuesday,0
3378,0,50,8,32,3.65116279069767,1,6.17904832339103,0,25,2.06976744186047,1,1,0,1,1,-1,36,117,2,0,24,wednesday,friday,0
4541886,83,65283,9,448,76.1439393939394,33,99.5703750343503,0,390,28.8333333333333,8,10,10,0,10,10,2,563,3,0,24,wednesday,wednesday,6
23253,0,4595,8,131,10.568093385214,6,16.5003311328356,0,32,3.59143968871595,2,3,3,0,3,3,15,0,1,0,24,wednesday,wednesday,1
513160,0,73487,42,1448,123.635738831615,30.5,226.665916627394,0,1140,50.4965635738832,9,22,22,0,22,22,2,1362,304,0,24,friday,friday,231
4662,10,12,49,17,2.12582781456954,1,3.18898068740731,0,10,0.728476821192053,0,1,0,1,1,-1,31,284,5,0,24,wednesday,thursday,30
2046147,0,123685,9,1411,123.083242059146,73,163.739580568996,0,1076,43.26286966046,14,134,8,126,132,-118,32,115,2,0,24,sunday,tuesday,1
89879,393,1257,14,16,2.31282051282051,2,2.36634300645418,0,11,0.884615384615385,0,0,0,0,0,0,55,0,1,0,24,friday,sunday,0
1422427,0,35610,9,214,34.4945205479452,19,41.0421179939299,0,174,11.6821917808219,3,9,0,2,8,-2,54,0,2,0,24,friday,monday,0
17135,0,32,13,4,0.205607476635514,0,0.637435248784297,0,2,0.046728971962617,0,0,0,0,0,0,30,111,1,0,24,monday,tuesday,0
5365996,40729,102442,9,742,65.3755980861244,35,94.878517530351,0,719,24.0717703349282,5,13,13,0,13,13,10,111,1,0,24,sunday,monday,3
1433518,25951,101466,9,984,147.768224299065,101,162.955835194539,0,693,46.8355140186916,19,55,55,0,55,55,23,262,147,0,24,friday,saturday,5
25247,393,6182,24,127,19.4282051282051,15,17.8011444276002,0,110,8.28461538461539,3,17,17,0,17,17,23,71,1,0,24,sunday,monday,0
55275,0,1834,13,410,5.79258241758242,2,26.635762539833,0,374,2.17582417582418,0,2,2,0,2,2,6,257,1,0,24,wednesday,wednesday,2
416948,0,57260,18,1289,91.5852390852391,54,118.06372495436,0,656,34.950103950104,11,57,11,46,56,-35,38,94,24,0,24,friday,sunday,0
23223,0,121,36,31,3.73024523160763,2,5.33312466954893,0,23,1.47411444141689,0,15,1,14,15,-13,40,53,28,0,24,saturday,monday,0
165002,0,25302,36,638,64.7284234752589,32,86.1601254224918,0,507,27.6559263521289,7,119,119,0,119,119,8,21,347,0,24,thursday,thursday,92
7564986,0,123241,12,45,3.42481751824817,1,5.71633312384424,0,38,1.26423357664234,0,10,10,0,10,10,23,46,11,0,24,saturday,sunday,1
4072194,880,161174,9,2119,142.04972972973,79,196.256621062164,0,1950,58.6864864864865,17,61,9,52,60,-43,31,287,53,0,24,friday,sunday,3
413095,0,19301,24,402,37.5746753246753,24,45.3474781464773,0,301,13.4166666666667,5,19,3,16,19,-13,32,194,26,0,24,thursday,friday,0
879585,11,49540,9,1097,102.405095541401,42,174.769406509671,0,999,36.2484076433121,3,12,3,9,12,-6,41,186,29,0,24,saturday,sunday,0
1408791,158,172,23,64,7.96498054474708,4,11.0560448499161,0,55,3.21011673151751,0,2,2,0,2,2,22,0,78,0,24,friday,saturday,0
186866,206,6605,18,1183,38.8323699421965,6,141.500630908709,0,751,18.1040462427746,1,6,2,4,4,-2,44,123,4,0,24,wednesday,friday,1
1576517,0,33793,14,1244,165.057777777778,94,209.563464255145,0,931,74.5111111111111,32,48,48,0,48,48,10,76,459,0,24,saturday,saturday,31
16272,0,311,24,32,6.37179487179487,5,5.94873176390969,0,30,1.99038461538462,0,0,0,0,0,0,59,253,2,0,24,wednesday,friday,0
1501468,0,50185,8,1175,132.468085106383,88.5,157.993394834173,0,1091,49.6510638297872,16,80,80,0,80,80,24,11,77,0,24,sunday,monday,4
115804,0,22,46,45,8.76026490066225,7,7.2400292658861,0,40,3.25033112582781,1,14,0,14,14,-14,44,86,112,0,24,friday,sunday,1
88853,0,3169,2,29,6.46653543307087,5,5.43472922026143,0,25,2.41732283464567,1,18,18,0,18,18,23,19,12,0,24,sunday,monday,3
22402,0,4467,18,42,10.0254237288136,8,9.00984571098241,0,31,3.55084745762712,1,3,0,3,3,-3,37,158,2,0,24,wednesday,friday,0
287698,0,4752,24,719,17.6029900332226,10,53.0787685626073,0,403,6.11960132890366,2,15,15,0,15,15,16,195,3,0,24,thursday,friday,1
410,48,31,62,4,0.647058823529412,0,1.41176470588235,0,3,0.176470588235294,0,0,0,0,0,0,10,0,1,0,24,monday,tuesday,0
55275,0,1834,13,410,5.79258241758242,2,26.635762539833,0,374,2.17582417582418,0,1,1,0,1,1,21,201,1,0,24,tuesday,wednesday,0
68306,0,3811,2,113,26.4857456140351,19,23.4252219815022,0,89,10.1820175438597,4,35,1,9,33,-8,59,19,3,0,24,thursday,saturday,0
1959278,0,12641,18,538,21.452787258248,11,37.7694007688531,0,474,8.55972696245734,3,3,3,0,3,3,5,86,1,0,24,tuesday,tuesday,10
1422427,0,35610,9,214,34.4945205479452,19,41.0421179939299,0,174,11.6821917808219,3,18,0,11,18,-11,49,0,1,0,24,monday,wednesday,0
3319,10,1,17,31,3.52332657200811,2,4.69624634199589,0,18,1.4604462474645,0,2,2,0,2,2,31,50,2,0,24,monday,tuesday,0
274207,0,100435,18,664,130.589330024814,79,131.07955584527,0,503,43.6526054590571,12,35,6,29,33,-23,29,96,1,0,24,saturday,sunday,0
400487,0,57833,13,414,26.6354916067146,15,44.9415979862141,0,300,10.9016786570743,3,112,2,26,105,-24,57,112,15,0,24,tuesday,thursday,0
157959,0,175,18,66,13.5441860465116,9,13.5360552517837,0,53,4.92093023255814,1,14,0,0,14,0,65,41,1,0,24,sunday,tuesday,0
4072194,880,161174,9,2119,142.04972972973,79,196.256621062164,0,1950,58.6864864864865,17,715,14,71,658,-57,67,208,1539,0,24,sunday,tuesday,4
4125,9412,255,27,11,1.6989247311828,1,2.48775472564716,0,11,1.01075268817204,0,1,1,0,1,1,17,371,1,0,24,wednesday,thursday,1
2156275,114,47233,9,425,81.1328671328671,64,71.7491782816169,0,382,30.7356643356643,6,273,138,135,271,3,27,75,38,0,24,thursday,friday,3
3337470,27805,11736,40,230,9.60686015831135,3,21.8307487004485,0,183,3.95646437994723,0,22,22,0,22,22,9,292,22,0,24,saturday,saturday,16
1204214,0,6418,1,105,5.81818181818182,3,11.3528508256314,0,97,2.04475524475524,0,14,0,3,12,-3,67,40,54,0,24,tuesday,friday,0
420838,148,606,39,344,19.8174322732627,14,26.4632265241994,0,227,7.81625441696113,3,37,2,14,34,-12,53,8,20,0,24,friday,sunday,0
513160,0,73487,42,1448,123.635738831615,30.5,226.665916627394,0,1140,50.4965635738832,9,24,5,19,23,-14,40,131,318,0,24,monday,wednesday,1
37529,0,356,24,8,2.47058823529412,2,1.97387785124265,0,8,0.955882352941176,0,1,0,1,1,-1,48,61,2,0,24,friday,sunday,0
7373665,1,37465,14,917,293.255319148936,281,218.408895080832,0,768,109.265957446809,55.5,371,10,135,342,-125,59,39,7247,0,24,saturday,monday,3
175201,0,54849,36,806,124.21589688507,82,124.282151900921,0,626,48.4425349087003,22,127,14,31,105,-17,59,0,322,0,24,thursday,sunday,1
142636,0,19782,9,146,24.4545454545455,17,25.7095795247383,0,132,9.11454545454546,3,50,2,13,46,-11,59,58,41,0,24,thursday,saturday,0
